fema_id		state		county		damaged_property
FM-5214	|	California	|	Napa, Sonoma, and Yuba	|	TRUE
FM-5215	|	California	|	Napa, Sonoma, and Yuba	|	TRUE
FM-5216	|	California	|	Butte, Lake, Mendocino, Napa, Nevada, Orange, Sonoma, Yuba	|	TRUE
FM-5217	|	California	|	Butte, Lake, Mendocino, Napa, Nevada, Orange, Sonoma, Yuba	|	TRUE
FM-5218	|	California	|	Butte, Lake, Mendocino, Napa, Nevada, Orange, Sonoma, Yuba	|	TRUE
FM-5219	|	California	|		|	FALSE
FM-5220	|	California	|		|	FALSE
FM-5221	|	California	|	Butte, Lake, Mendocino, Napa, Nevada, Orange, Sonoma, Yuba	|	TRUE
FM-5222	|	California	|		|	FALSE
FM-5223	|	California	|	Butte, Lake, Mendocino, Napa, Nevada, Orange, Sonoma, Yuba	|	TRUE
DR-4344	|	California	|	Butte, Lake, Mendocino, Napa, Nevada, Orange, Sonoma, Yuba	|	TRUE
FM-5224	|	California	|	Santa Barbara, Ventura	|	TRUE
FM-5225	|	California	|	Los Angeles	|	TRUE
FM-5226	|	California	|	Los Angeles	|	TRUE
FM-5227	|	California	|		|	FALSE
FM-5228	|	California	|	San Diego	|	TRUE
EM-3396	|	California	|	Los Angeles, Riverside, San Diego, Santa Barbara, Ventura	|	TRUE
DR-4353	|	California	|	Santa Barbara, Ventura	|	TRUE
FM-5244	|	California	|	Lake	|	TRUE
FM-5245	|	California	|		|	FALSE
FM-5250	|	California	|	Siskiyou	|	TRUE
FM-5251	|	California	|	San Diego	|	TRUE
FM-5252	|	California	|	Santa Barbara	|	TRUE
DR-4302	|	Hoopa Valley Tribe	|		|	
DR-4142	|	Karuk Tribe	|		|	
DR-4312	|	Resighini Rancheria	|		|	
DR-4206	|	Soboba Band of Luiseño Indians	|		|	
